,Oper. Margin,Profit Margin,EPS this Y,Sales Q/Q,EPS Q/Q,EPS next Q,Payout,Book/sh,ROE,ROA,LT Debt/Eq,P/E,Forward P/E,Recom,Perf Week,Perf Month,Perf Quarter,Prev Close,SMA20,Target Price,P/B,Growth %,Leverage
TXN,40.6,34.9,51.4,11.5,5.3,1.01,56.2,9.61,58.9,29.5,0.59,21.9,23.56,2.5,1.76,9.32,5.3,118.0,2.25,126.07,12.278876170655568,25.798199999999998,1.9966101694915255
GD,11.7,8.7,12.8,7.3,8.6,3.45,33.5,46.86,26.8,7.1,0.67,16.21,14.44,2.4,1.08,5.84,0.27,187.08,3.89,205.61,3.9923175416133168,17.822,3.774647887323944
LULU,21.3,14.9,57.1,22.1,34.2,0.93,0.0,11.57,37.3,23.2,0.0,52.56,38.49,2.1,5.77,5.34,20.84,215.91,4.96,214.69,18.661192739844424,37.3,1.607758620689655
BMY,35.0,23.4,28.7,5.6,29.5,0.89,47.1,10.81,35.9,12.4,1.38,16.93,9.51,2.0,0.98,11.77,23.45,58.59,2.2,64.22,5.419981498612396,18.9911,2.8951612903225805
BIIB,47.1,37.9,24.5,4.7,17.3,7.92,0.0,76.06,40.1,20.5,0.32,10.0,8.58,2.7,3.74,25.12,19.75,282.27,1.32,299.0,3.7111490928214566,40.1,1.9560975609756097
CELG,46.5,34.6,4.8,16.1,49.2,2.8,0.0,17.04,64.5,15.3,1.51,13.73,8.87,3.0,0.44,8.07,15.54,110.02,2.03,103.4,6.456572769953052,64.5,4.215686274509804
AMAT,25.5,22.4,36.1,14.4,40.4,0.92,23.3,8.74,42.4,18.0,0.65,20.71,14.3,2.3,10.76,19.03,31.76,62.06,11.66,56.77,7.100686498855835,32.5208,2.3555555555555556
LRCX,25.4,22.4,16.8,7.1,4.2,3.86,31.1,34.12,41.1,17.7,0.78,20.9,15.39,2.2,4.03,20.15,36.35,283.68,5.02,267.09,8.314185228604925,28.317900000000005,2.3220338983050848
AEIS,8.6,12.2,25.4,1.2,80.3,0.69,0.0,17.22,11.7,7.2,0.49,37.99,18.97,2.1,3.38,21.76,32.85,65.76,7.55,70.5,3.8188153310104536,11.7,1.6249999999999998
QRVO,7.5,8.2,212.7,8.8,184.8,1.67,0.0,36.37,5.8,4.3,0.24,50.46,15.82,2.6,0.28,31.4,44.06,103.75,12.71,93.14,2.852625790486665,5.8,1.3488372093023255
